字段代码,字段(大写),中文名,参数
b_esg_approval,B_ESG_APPROVAL,ESG债券认证标准,
b_esg_benefit_evaluation,B_ESG_BENEFIT_EVALUATION,ESG债券效益评估,
b_esg_conclusion,B_ESG_CONCLUSION,ESG债券认证结论,
b_esg_escore_wind,B_ESG_ESCORE_WIND,环境维度得分,TRADEDATE
b_esg_eventscore_wind,B_ESG_EVENTSCORE_WIND,ESG争议事件得分,TRADEDATE
b_esg_gscore_wind,B_ESG_GSCORE_WIND,治理维度得分,TRADEDATE
b_esg_mgmtscore_wind,B_ESG_MGMTSCORE_WIND,ESG管理实践得分,TRADEDATE
b_esg_proportion,B_ESG_PROPORTION,ESG债券募集金额认定比例,
b_esg_rating_wind,B_ESG_RATING_WIND,Wind ESG评级,TRADEDATE
b_esg_score_wind,B_ESG_SCORE_WIND,Wind ESG综合得分,TRADEDATE
b_esg_sscore_wind,B_ESG_SSCORE_WIND,社会维度得分,TRADEDATE
b_fa_arturn,B_FA_ARTURN,,REPORTDATE
b_fa_current,B_FA_CURRENT,,REPORTDATE
b_fa_ebit,B_FA_EBIT,,REPORTDATE
b_fa_fcfe,B_FA_FCFE,,REPORTDATE
b_fa_fcff,B_FA_FCFF,,REPORTDATE
b_fa_fcffps,B_FA_FCFFPS,,REPORTDATE
b_fa_finaexpense_ttm,B_FA_FINAEXPENSE_TTM,,
b_fa_finaexpensetogr,B_FA_FINAEXPENSETOGR,,REPORTDATE
b_fa_finaexpensetogr_ttm,B_FA_FINAEXPENSETOGR_TTM,,
b_fa_financecashflow_ttm,B_FA_FINANCECASHFLOW_TTM,,
b_fa_gc_ttm,B_FA_GC_TTM,,
b_fa_gctogr,B_FA_GCTOGR,,REPORTDATE
b_fa_gctogr_ttm,B_FA_GCTOGR_TTM,,
b_fa_gr_ttm,B_FA_GR_TTM,,DEALDATE
b_fa_grossmargin,B_FA_GROSSMARGIN,,REPORTDATE
b_fa_grossmargin_ttm,B_FA_GROSSMARGIN_TTM,,
b_fa_grossprofitmargin,B_FA_GROSSPROFITMARGIN,,REPORTDATE
b_fa_grossprofitmargin_ttm,B_FA_GROSSPROFITMARGIN_TTM,,
b_fa_grps,B_FA_GRPS,,REPORTDATE
b_fa_impairment_ttm,B_FA_IMPAIRMENT_TTM,,
b_fa_impairtogr,B_FA_IMPAIRTOGR,,REPORTDATE
b_fa_impairtogr_ttm,B_FA_IMPAIRTOGR_TTM,,
b_fa_interestdebt,B_FA_INTERESTDEBT,,REPORTDATE
b_fa_interestdebttoev,B_FA_INTERESTDEBTTOEV,,DEALDATE
b_fa_interestdebttototalcapital,B_FA_INTERESTDEBTTOTOTALCAPITAL,,REPORTDATE
b_fa_investcapital,B_FA_INVESTCAPITAL,,REPORTDATE
b_fa_investcashflow_ttm,B_FA_INVESTCASHFLOW_TTM,,
b_fa_investincome,B_FA_INVESTINCOME,,REPORTDATE
b_fa_investincome_ttm,B_FA_INVESTINCOME_TTM,,
b_fa_investincometoebt,B_FA_INVESTINCOMETOEBT,,REPORTDATE
b_fa_investincometoebt_ttm,B_FA_INVESTINCOMETOEBT_TTM,,
b_fa_invturn,B_FA_INVTURN,,REPORTDATE
b_fa_invturndays,B_FA_INVTURNDAYS,,REPORTDATE
b_fa_longdebtodebt,B_FA_LONGDEBTODEBT,,REPORTDATE
b_fa_longdebttoworkingcapital,B_FA_LONGDEBTTOWORKINGCAPITAL,,REPORTDATE
b_fa_ncatoassets,B_FA_NCATOASSETS,,REPORTDATE
b_fa_netdebt,B_FA_NETDEBT,,REPORTDATE
b_fa_netdebttoev,B_FA_NETDEBTTOEV,,DEALDATE
b_fa_netprofit_ttm,B_FA_NETPROFIT_TTM,,DEALDATE
b_fa_netprofitmargin,B_FA_NETPROFITMARGIN,,REPORTDATE
b_fa_netprofitmargin_ttm,B_FA_NETPROFITMARGIN_TTM,,
b_fa_networkingcapital,B_FA_NETWORKINGCAPITAL,,REPORTDATE
b_fa_nonoperateprofit_ttm,B_FA_NONOPERATEPROFIT_TTM,,
b_fa_nonoperateprofittoebt,B_FA_NONOPERATEPROFITTOEBT,,REPORTDATE
b_fa_nonoperateprofittoebt_ttm,B_FA_NONOPERATEPROFITTOEBT_TTM,,
b_fa_ocfps,B_FA_OCFPS,,REPORTDATE
b_fa_ocfps_ttm,B_FA_OCFPS_TTM,,
b_fa_ocftodebt,B_FA_OCFTODEBT,,REPORTDATE
b_fa_ocftointerestdebt,B_FA_OCFTOINTERESTDEBT,,REPORTDATE
b_fa_ocftonetdebt,B_FA_OCFTONETDEBT,,REPORTDATE
b_fa_ocftooperateincome,B_FA_OCFTOOPERATEINCOME,,REPORTDATE
